created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Apr 30 11:56:43 +0000 2024;1785277097415770498;"Aq PeRnaH nANgiS Ggr tAu kLw KuCinG Egk MasUq SuRga";0;0;0;0;in;1410934935301414916;1785277097415770498;vachirawitgirl;https://twitter.com/vachirawitgirl/status/1785277097415770498
Tue Apr 30 11:56:37 +0000 2024;1785277070475772253;"@chewjunz Era ini penuh dengan kucing gemas🥹";0;0;0;0;in;1293685758549585920;1785275396428366184;creamzun;https://twitter.com/creamzun/status/1785277070475772253
Tue Apr 30 11:56:21 +0000 2024;1785277006659346574;"rekomen merk pasir tofu kucing yang bagus dong...";0;0;0;0;in;1695621393403240448;1785277006659346574;drunctext;https://twitter.com/drunctext/status/1785277006659346574
Tue Apr 30 11:56:16 +0000 2024;1785276986082107470;"Salfok kita udah bisa ngelus kucing jalanan?!!?!";0;1;0;0;in;1365147406220726273;1785276986082107470;acimaklor;https://twitter.com/acimaklor/status/1785276986082107470
Tue Apr 30 11:56:10 +0000 2024;1785276959301460370;"@channiesm97 "kalo mirip brarti kita jodoh" -kucing";0;0;0;0;in;1287533278379925504;1785272203321479426;ngabchannie;https://twitter.com/ngabchannie/status/1785276959301460370
Tue Apr 30 11:56:03 +0000 2024;1785276930230817175;"@liam_000000 @SenderLabs Kucing putih sudah si bek nya sama mamang 🥺🫤";0;0;0;0;in;1733089514229526528;1785226601283846458;daniswarairdrop;https://twitter.com/daniswarairdrop/status/1785276930230817175
Tue Apr 30 11:55:46 +0000 2024;1785276858986291278;"@vxiolent Gpp kalo hamil, gua siap punya ponakan! Nanti gua beliin hadiah rumah (kucing)";0;1;0;0;in;616261332;1785272966475043122;heeseuzq;https://twitter.com/heeseuzq/status/1785276858986291278
Tue Apr 30 11:55:40 +0000 2024;1785276832377700699;"@Heraloebss Andalan ya nasi bungkus, nasi kucing atau pentol sih kalo sendirian, mentok mie ayam 8rebu palingan";0;0;0;0;in;325038983;1785214152576999816;da_ricardo22;https://twitter.com/da_ricardo22/status/1785276832377700699
Tue Apr 30 11:55:38 +0000 2024;1785276825138237562;"Ya Allah, nangis aja udah, sprei, kasur, baju, bantal, mukena, jaket, semua dipipisin sama ada ee kucing, capek bgt harus nyuci semua.";0;0;0;0;in;1549290009462575104;1785276825138237562;solynswari;https://twitter.com/solynswari/status/1785276825138237562
Tue Apr 30 11:55:29 +0000 2024;1785276788823961669;"Lamanya sudah issue bos kucing tu, kau mau drag org utk benci2 aku. Lol";0;0;0;0;in;979582886666883072;1785276788823961669;sssh4z;https://twitter.com/sssh4z/status/1785276788823961669
